date,design_id,style,color_palette,trade,popularity,social_mentions,search_volume,month,quarter,week_of_year
2025-02-16 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,24.866496569397665,33.962334567828776,32.7261516393931,2,1,7
2025-02-23 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,25.770575407017922,15.361329169870261,31.91308869936358,2,1,8
2025-03-02 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,31.341766122227032,27.927787546427567,44.143332628105135,3,1,9
2025-03-09 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,34.52128709446488,55.20313448921682,28.933547419847887,3,1,10
2025-03-16 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,33.80001656147546,22.164987930987095,36.387983531414086,3,1,11
2025-03-23 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,40.61183090462152,34.77760626687298,52.14478707950248,3,1,12
2025-03-30 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,37.61224410828758,38.91180417994432,30.522817667022895,3,1,13
2025-04-06 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,39.57696961191069,25.97664341408018,40.64373196530682,4,2,14
2025-04-13 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,44.928224165553296,26.638073992132746,48.31338214143392,4,2,15
2025-04-20 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,37.15354332846834,32.12146899492521,35.09849358391343,4,2,16
2025-04-27 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,38.421290759483,53.27621300879839,41.233025615252174,4,2,17
2025-05-04 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,29.628112829626883,36.326190151970394,39.99593355029493,5,2,18
2025-05-11 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,25.04126157776765,31.82815979387655,36.072966763813746,5,2,19
2025-05-18 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,31.897264154932788,22.692665421170254,39.646266022356635,5,2,20
2025-05-25 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,42.237598194790884,42.98863666244841,57.20530886486353,5,2,21
2025-06-01 19:27:41.301106,DESIGN_000,minimalist,pastel,mason,35.36481967509201,35.10062220504912,35.8730650850539,6,2,22
